dataset,neuron,mean,cov,mean_std,cov_std,mean_0,mean_1,mean_2,mean_3,mean_4,cov_0,cov_1,cov_2,cov_3,cov_4,jitter_0,loc_0,jitter_1,loc_1,jitter_2,loc_2,jitter_3,loc_3,jitter_4,loc_4,jitter,loc,jitter_std,loc_std,single_trial_correlation,cell_id
Dataset 05,32,[-0.11  0.62],"[[ 0.09  0.01]
 [ 0.04 -0.01]]",[0.69 0.32],"[[0.08 0.02]
 [0.03 0.02]]",[-0.97  0.9 ],[-0.48  0.51],[1. 1.],[0.34 0.55],[-0.43  0.11],"[[ 0.19  0.03]
 [ 0.09 -0.03]]","[[ 0.16  0.  ]
 [ 0.07 -0.  ]]","[[-0.   -0.  ]
 [ 0.01 -0.01]]","[[0.08 0.04]
 [0.02 0.01]]","[[ 0.   -0.  ]
 [ 0.01  0.01]]",[-0.05  0.01],[-1.02  0.92],[ 0.05 -0.04],[-0.43  0.47],[ 0.05 -0.04],[1.05 0.96],[ 0.03 -0.  ],[0.36 0.55],[ 0.01 -0.04],[-0.42  0.06],[ 0.02 -0.02],[-0.09  0.59],[0.04 0.02],[0.72 0.33],0.6890965,LPE10885_2023_10_20_4_0032
Dataset 05,33,[-0.19  0.67],"[[ 0.04 -0.  ]
 [ 0.02  0.03]]",[0.76 0.29],"[[0.04 0.04]
 [0.05 0.03]]",[-0.99  0.96],[-0.5   0.55],[1. 1.],[0.36 0.63],[-0.82  0.21],"[[ 0.08 -0.01]
 [-0.06  0.04]]","[[ 0.09 -0.07]
 [ 0.06  0.07]]","[[ 0.01 -0.  ]
 [ 0.    0.02]]","[[0.   0.07]
 [0.08 0.01]]","[[-0.    0.  ]
 [ 0.01 -0.  ]]",[-0.02 -0.  ],[-1.01  0.96],[0.02 0.02],[-0.48  0.57],[-0.05  0.05],[0.95 1.05],[-0.03 -0.04],[0.33 0.59],[-0.04  0.04],[-0.86  0.25],[-0.02  0.01],[-0.21  0.68],[0.02 0.03],[0.74 0.29],0.4575975,LPE10885_2023_10_20_4_0033
Dataset 05,34,[-0.1   0.65],"[[0.03 0.03]
 [0.   0.02]]",[0.69 0.28],"[[0.03 0.08]
 [0.05 0.03]]",[-0.99  0.94],[-0.48  0.51],[1. 1.],[0.34 0.56],[-0.38  0.26],"[[0.02 0.12]
 [0.07 0.08]]","[[ 0.03  0.13]
 [-0.   -0.01]]","[[-0.    0.01]
 [-0.    0.01]]","[[ 0.09 -0.1 ]
 [-0.07  0.05]]","[[ 0. -0.]
 [ 0. -0.]]",[-0.05  0.05],[-1.04  0.99],[-0.04  0.04],[-0.51  0.55],[0.05 0.04],[1.05 1.04],[0.05 0.05],[0.39 0.61],[-0.04 -0.04],[-0.42  0.21],[-0.    0.03],[-0.11  0.68],[0.05 0.04],[0.74 0.31],0.31721467,LPE10885_2023_10_20_4_0034
Dataset 05,35,[-0.21  0.63],"[[ 0.03  0.03]
 [-0.02  0.06]]",[0.77 0.32],"[[0.05 0.09]
 [0.02 0.04]]",[-0.97  0.9 ],[-0.49  0.53],[1. 1.],[0.35 0.61],[-0.93  0.1 ],"[[ 0.12  0.18]
 [-0.03  0.07]]","[[ 0.07 -0.07]
 [-0.03  0.09]]","[[ 0. -0.]
 [-0.  0.]]","[[-0.02  0.07]
 [-0.05  0.11]]","[[ 0.    0.  ]
 [-0.01  0.01]]",[-0.05  0.02],[-1.02  0.91],[ 0.05 -0.05],[-0.44  0.48],[-0.05  0.  ],[0.95 1.  ],[-0.03 -0.03],[0.32 0.58],[0.04 0.02],[-0.88  0.12],[-0.01 -0.01],[-0.21  0.62],[0.05 0.03],[0.75 0.32],0.6933577,LPE10885_2023_10_20_4_0035
Dataset 05,36,[-0.18  0.6 ],"[[-0.09  0.01]
 [ 0.03  0.  ]]",[0.74 0.38],"[[0.12 0.09]
 [0.02 0.01]]",[-0.98  0.92],[-0.5   0.55],[1. 1.],[0.36 0.61],[-0.77 -0.08],"[[-0.15  0.17]
 [ 0.04 -0.01]]","[[-0.29 -0.11]
 [ 0.07  0.  ]]","[[-0.01 -0.01]
 [ 0.01 -0.  ]]","[[0.   0.02]
 [0.03 0.01]]","[[-0.    0.  ]
 [ 0.01  0.  ]]",[ 0.01 -0.05],[-0.97  0.87],[-0.01  0.04],[-0.51  0.6 ],[ 0.05 -0.02],[1.05 0.98],[-0.05 -0.05],[0.31 0.56],[-0.05 -0.03],[-0.83 -0.11],[-0.01 -0.02],[-0.19  0.58],[0.04 0.03],[0.76 0.38],0.34960553,LPE10885_2023_10_20_4_0036
Dataset 05,37,[-0.1   0.62],"[[-0.04  0.06]
 [-0.    0.03]]",[0.69 0.31],"[[0.07 0.06]
 [0.05 0.02]]",[-0.97  0.89],[-0.47  0.5 ],[1. 1.],[0.34 0.55],[-0.41  0.13],"[[0.03 0.09]
 [0.03 0.04]]","[[-0.16  0.15]
 [-0.09  0.05]]","[[-0.   -0.  ]
 [-0.    0.01]]","[[-0.04  0.05]
 [ 0.08  0.04]]","[[-0.   -0.  ]
 [-0.01 -0.01]]",[-0.05 -0.02],[-1.02  0.88],[-0.05  0.05],[-0.52  0.55],[-0.01  0.02],[0.99 1.02],[0.05 0.05],[0.39 0.6 ],[-0.    0.04],[-0.41  0.18],[-0.01  0.03],[-0.11  0.65],[0.04 0.03],[0.71 0.29],0.4912499,LPE10885_2023_10_20_4_0037
Dataset 05,38,[-0.12  0.62],"[[ 0.03  0.04]
 [-0.02 -0.01]]",[0.7 0.3],"[[0.04 0.1 ]
 [0.07 0.02]]",[-0.97  0.89],[-0.47  0.49],[1. 1.],[0.34 0.56],[-0.53  0.17],"[[ 0.01 -0.11]
 [-0.01 -0.02]]","[[0.11 0.17]
 [0.04 0.02]]","[[-0.    0.01]
 [ 0.   -0.01]]","[[ 0.04  0.11]
 [-0.15 -0.04]]","[[ 0. -0.]
 [-0.  0.]]",[ 0.02 -0.03],[-0.95  0.86],[-0.02  0.05],[-0.49  0.54],[-0.   -0.03],[1.   0.97],[0.04 0.03],[0.39 0.59],[-0.05 -0.04],[-0.58  0.13],[-0. -0.],[-0.13  0.62],[0.03 0.04],[0.71 0.29],0.64045626,LPE10885_2023_10_20_4_0038
Dataset 05,39,[-0.1   0.66],"[[-0.02 -0.02]
 [ 0.02  0.02]]",[0.7  0.27],"[[0.03 0.13]
 [0.06 0.1 ]]",[-0.99  0.95],[-0.48  0.52],[1. 1.],[0.34 0.56],[-0.38  0.28],"[[0.01 0.2 ]
 [0.1  0.19]]","[[-0.04 -0.21]
 [ 0.07 -0.13]]","[[ 0. -0.]
 [-0. -0.]]","[[-0.07 -0.09]
 [-0.07  0.06]]","[[-0. -0.]
 [ 0.  0.]]",[-0.05  0.05],[-1.04  1.01],[-0.04  0.04],[-0.52  0.57],[0.04 0.05],[1.04 1.05],[0.03 0.04],[0.37 0.6 ],[-0.03  0.01],[-0.4   0.29],[-0.01  0.04],[-0.11  0.7 ],[0.04 0.01],[0.73 0.29],0.44370803,LPE10885_2023_10_20_4_0039
Dataset 05,40,[-0.12  0.61],"[[-0.01 -0.  ]
 [-0.07 -0.02]]",[0.7  0.32],"[[0.13 0.08]
 [0.11 0.08]]",[-0.96  0.89],[-0.48  0.51],[1. 1.],[0.34 0.56],[-0.5   0.08],"[[-0.21 -0.13]
 [-0.27 -0.14]]","[[-0.02  0.11]
 [-0.   -0.06]]","[[-0.   -0.01]
 [ 0.    0.01]]","[[ 0.21  0.01]
 [-0.1   0.09]]","[[-0.01  0.  ]
 [ 0.   -0.  ]]",[-0.05  0.05],[-1.01  0.94],[ 0.05 -0.05],[-0.43  0.46],[0.05 0.04],[1.05 1.04],[0.05 0.  ],[0.39 0.56],[-0.05  0.05],[-0.55  0.14],[0.01 0.02],[-0.11  0.63],[0.05 0.04],[0.74 0.33],0.68425363,LPE10885_2023_10_20_4_0040
Dataset 05,41,[-0.11  0.61],"[[-0.02  0.03]
 [ 0.03 -0.01]]",[0.7  0.33],"[[0.02 0.09]
 [0.07 0.04]]",[-0.97  0.91],[-0.48  0.52],[1. 1.],[0.34 0.56],[-0.46  0.06],"[[-0.02  0.19]
 [ 0.   -0.02]]","[[-0.06 -0.06]
 [ 0.17 -0.06]]","[[ 0.   -0.  ]
 [-0.   -0.01]]","[[-0.02  0.02]
 [-0.01  0.06]]","[[-0.01 -0.  ]
 [ 0.01  0.  ]]",[-0.05 -0.04],[-1.03  0.87],[-0.05  0.03],[-0.53  0.55],[ 0.05 -0.05],[1.05 0.95],[-0.05  0.  ],[0.29 0.57],[ 0.04 -0.05],[-0.41  0.01],[-0.01 -0.02],[-0.13  0.59],[0.05 0.03],[0.72 0.33],0.49175012,LPE10885_2023_10_20_4_0041
Dataset 05,42,[-0.1   0.62],"[[ 0.08 -0.03]
 [ 0.01 -0.03]]",[0.69 0.31],"[[0.14 0.04]
 [0.03 0.08]]",[-0.97  0.9 ],[-0.47  0.5 ],[1. 1.],[0.34 0.55],[-0.38  0.13],"[[ 0.12 -0.06]
 [-0.02  0.03]]","[[ 0.33 -0.1 ]
 [ 0.06 -0.19]]","[[-0.01  0.01]
 [ 0.01  0.  ]]","[[-0.05  0.01]
 [ 0.02  0.03]]","[[ 0.   -0.01]
 [-0.01 -0.  ]]",[-0.03  0.04],[-1.    0.94],[-0.04  0.04],[-0.52  0.54],[0.05 0.  ],[1.05 1.  ],[-0.04  0.03],[0.3  0.58],[0.02 0.04],[-0.36  0.17],[-0.01  0.03],[-0.11  0.65],[0.03 0.01],[0.71 0.3 ],0.41127306,LPE10885_2023_10_20_4_0042
Dataset 05,43,[-0.1   0.62],"[[-0.04  0.04]
 [-0.1   0.08]]",[0.69 0.31],"[[0.08 0.09]
 [0.11 0.08]]",[-0.97  0.91],[-0.48  0.51],[1. 1.],[0.34 0.55],[-0.39  0.12],"[[-0.15  0.17]
 [-0.26  0.06]]","[[-0.11  0.1 ]
 [-0.2   0.22]]","[[-0.   -0.  ]
 [ 0.02 -0.01]]","[[ 0.06 -0.09]
 [-0.03  0.11]]","[[-0.01  0.  ]
 [-0.01  0.  ]]",[0.05 0.05],[-0.92  0.96],[ 0.05 -0.02],[-0.43  0.49],[ 0.05 -0.04],[1.05 0.96],[0.04 0.04],[0.38 0.6 ],[0.02 0.02],[-0.37  0.15],[0.04 0.01],[-0.06  0.63],[0.01 0.04],[0.69 0.31],0.70467585,LPE10885_2023_10_20_4_0043
Dataset 05,44,[-0.15  0.59],"[[-0.    0.02]
 [ 0.02 -0.01]]",[0.71 0.33],"[[0.09 0.06]
 [0.07 0.03]]",[-0.93  0.84],[-0.48  0.51],[1. 1.],[0.34 0.56],[-0.67  0.04],"[[-0.17 -0.04]
 [ 0.14 -0.06]]","[[0.12 0.12]
 [0.04 0.01]]","[[-0.   -0.01]
 [ 0.   -0.01]]","[[ 0.02  0.01]
 [-0.06  0.01]]","[[ 0.    0.01]
 [ 0.01 -0.  ]]",[-0.05  0.05],[-0.98  0.89],[-0.04 -0.01],[-0.51  0.5 ],[0.01 0.  ],[1.01 1.  ],[0.01 0.03],[0.35 0.59],[-0.02  0.03],[-0.69  0.07],[-0.02  0.02],[-0.16  0.61],[0.02 0.02],[0.74 0.33],0.49620748,LPE10885_2023_10_20_4_0044
Dataset 05,45,[-0.19  0.65],"[[-0.05  0.03]
 [-0.05  0.01]]",[0.76 0.3 ],"[[0.05 0.15]
 [0.04 0.05]]",[-0.99  0.94],[-0.49  0.54],[1. 1.],[0.35 0.61],[-0.84  0.17],"[[-0.14 -0.05]
 [-0.06 -0.05]]","[[-0.06  0.32]
 [-0.06  0.03]]","[[-0.    0.01]
 [-0.01  0.  ]]","[[-0.06 -0.11]
 [-0.12  0.09]]","[[-0.    0.  ]
 [-0.01 -0.  ]]",[-0.05 -0.01],[-1.04  0.92],[ 0.01 -0.03],[-0.48  0.5 ],[-0.05  0.01],[0.95 1.01],[-0.01  0.05],[0.35 0.67],[-0.03  0.04],[-0.87  0.21],[-0.03  0.01],[-0.22  0.66],[0.02 0.03],[0.75 0.29],0.5165362,LPE10885_2023_10_20_4_0045
Dataset 05,46,[-0.15  0.6 ],"[[ 0.01  0.03]
 [-0.01  0.05]]",[0.72 0.35],"[[0.07 0.1 ]
 [0.07 0.05]]",[-0.96  0.89],[-0.48  0.52],[1. 1.],[0.35 0.58],[-0.67  0.  ],"[[-0.1   0.18]
 [ 0.03  0.09]]","[[0.01 0.08]
 [0.06 0.01]]","[[ 0.01 -0.01]
 [-0.    0.01]]","[[ 0.13 -0.11]
 [-0.13  0.12]]","[[0.01 0.  ]
 [0.01 0.  ]]",[0.   0.05],[-0.96  0.94],[0.05 0.  ],[-0.43  0.53],[-0.05 -0.05],[0.95 0.95],[-0.    0.05],[0.35 0.63],[-0.05  0.01],[-0.72  0.01],[-0.01  0.01],[-0.16  0.61],[0.04 0.04],[0.71 0.34],0.2885189,LPE10885_2023_10_20_4_0046
Dataset 05,47,[-0.1   0.62],"[[-0.02  0.01]
 [-0.01 -0.02]]",[0.69 0.3 ],"[[0.02 0.03]
 [0.06 0.06]]",[-0.96  0.89],[-0.47  0.49],[1. 1.],[0.34 0.55],[-0.42  0.14],"[[-0.06 -0.02]
 [-0.02  0.09]]","[[-0.04  0.01]
 [ 0.09 -0.05]]","[[-0.    0.  ]
 [-0.   -0.01]]","[[ 0.01  0.07]
 [-0.1  -0.11]]","[[-0. -0.]
 [ 0. -0.]]",[ 0.03 -0.02],[-0.93  0.86],[0.03 0.02],[-0.44  0.51],[ 0.05 -0.05],[1.05 0.95],[0.05 0.05],[0.39 0.6 ],[0.01 0.  ],[-0.41  0.15],[ 0.03 -0.  ],[-0.07  0.61],[0.02 0.03],[0.7  0.28],0.60848784,LPE10885_2023_10_20_4_0047
Dataset 05,48,[-0.14  0.69],"[[-0.03 -0.03]
 [ 0.03 -0.04]]",[0.72 0.26],"[[0.08 0.08]
 [0.13 0.05]]",[-1.    0.98],[-0.49  0.54],[1. 1.],[0.35 0.6 ],[-0.56  0.32],"[[ 0.05  0.07]
 [ 0.21 -0.1 ]]","[[-0.   -0.06]
 [-0.17 -0.1 ]]","[[ 0.    0.01]
 [ 0.   -0.  ]]","[[-0.19 -0.17]
 [ 0.1   0.01]]","[[-0. -0.]
 [-0.  0.]]",[-0.05  0.05],[-1.05  1.03],[0.05 0.04],[-0.44  0.58],[-0.03  0.05],[0.97 1.05],[0.02 0.03],[0.37 0.63],[-0.04  0.02],[-0.61  0.34],[-0.01  0.04],[-0.15  0.73],[0.04 0.01],[0.72 0.28],0.52517784,LPE10885_2023_10_20_4_0048
Dataset 05,49,[-0.12  0.69],"[[0.11 0.06]
 [0.02 0.05]]",[0.7  0.26],"[[0.09 0.07]
 [0.07 0.07]]",[-1.    0.98],[-0.5   0.55],[1. 1.],[0.35 0.59],[-0.43  0.33],"[[0.14 0.19]
 [0.14 0.18]]","[[0.2  0.09]
 [0.06 0.04]]","[[ 0. -0.]
 [-0. -0.]]","[[ 0.21  0.01]
 [-0.08  0.01]]","[[ 0.    0.01]
 [ 0.01 -0.  ]]",[0.02 0.05],[-0.97  1.04],[-0.01 -0.02],[-0.51  0.53],[0.05 0.05],[1.05 1.05],[0.05 0.05],[0.4  0.64],[-0.05 -0.05],[-0.48  0.29],[0.01 0.02],[-0.1   0.71],[0.04 0.04],[0.73 0.3 ],0.68932664,LPE10885_2023_10_20_4_0049
Dataset 05,50,[-0.21  0.62],"[[ 0.01  0.05]
 [ 0.04 -0.  ]]",[0.77 0.31],"[[0.06 0.06]
 [0.05 0.05]]",[-0.95  0.86],[-0.49  0.54],[1. 1.],[0.35 0.6 ],[-0.97  0.09],"[[0.11 0.09]
 [0.14 0.07]]","[[ 0.03  0.01]
 [ 0.07 -0.06]]","[[ 0.01 -0.  ]
 [ 0.01  0.01]]","[[-0.09  0.14]
 [ 0.01 -0.04]]","[[ 0.   -0.01]
 [-0.    0.  ]]",[-0.05  0.05],[-1.    0.91],[-0.05  0.  ],[-0.54  0.54],[-0.03 -0.05],[0.97 0.95],[0.04 0.05],[0.39 0.65],[ 0.05 -0.02],[-0.91  0.07],[-0.01  0.01],[-0.22  0.62],[0.05 0.04],[0.77 0.32],0.63592434,LPE10885_2023_10_20_4_0050
Dataset 05,51,[-0.1   0.62],"[[ 0.02  0.  ]
 [ 0.02 -0.01]]",[0.69 0.31],"[[0.04 0.06]
 [0.06 0.01]]",[-0.98  0.91],[-0.48  0.52],[1. 1.],[0.34 0.55],[-0.39  0.12],"[[ 0.07 -0.04]
 [-0.07 -0.01]]","[[ 0.06  0.12]
 [ 0.05 -0.02]]","[[ 0. -0.]
 [-0.  0.]]","[[-0.03 -0.05]
 [ 0.1  -0.  ]]","[[-0. -0.]
 [ 0.  0.]]",[-0.05  0.05],[-1.03  0.96],[-0.05  0.05],[-0.53  0.57],[ 0.05 -0.01],[1.05 0.99],[ 0.   -0.03],[0.34 0.52],[0.02 0.02],[-0.37  0.15],[-0.01  0.02],[-0.11  0.64],[0.04 0.03],[0.73 0.31],0.6271402,LPE10885_2023_10_20_4_0051
Dataset 05,52,[-0.15  0.59],"[[ 0.04 -0.  ]
 [ 0.05  0.02]]",[0.72 0.33],"[[0.11 0.01]
 [0.07 0.03]]",[-0.92  0.83],[-0.48  0.52],[1. 1.],[0.34 0.56],[-0.71  0.03],"[[-0.03  0.  ]
 [ 0.03  0.05]]","[[ 0.25 -0.02]
 [ 0.19  0.06]]","[[-0.01 -0.01]
 [ 0.01  0.02]]","[[-0.01  0.  ]
 [ 0.05 -0.02]]","[[-0.01  0.01]
 [-0.01 -0.  ]]",[ 0.02 -0.05],[-0.9   0.78],[-0.05  0.03],[-0.53  0.55],[-0.05 -0.05],[0.95 0.95],[-0.05 -0.05],[0.29 0.52],[ 0.05 -0.03],[-0.66 -0.  ],[-0.02 -0.03],[-0.17  0.56],[0.04 0.03],[0.69 0.32],0.33468956,LPE10885_2023_10_20_4_0052
Dataset 05,53,[-0.08  0.63],"[[ 0.05  0.  ]
 [-0.03 -0.01]]",[0.69 0.31],"[[0.05 0.09]
 [0.04 0.03]]",[-0.99  0.93],[-0.48  0.52],[1. 1.],[0.34 0.55],[-0.28  0.15],"[[ 0.13 -0.16]
 [-0.04 -0.05]]","[[ 0.02  0.05]
 [-0.03  0.05]]","[[-0.    0.01]
 [ 0.01 -0.03]]","[[ 0.09  0.1 ]
 [-0.1  -0.  ]]","[[ 0.    0.  ]
 [-0.01  0.  ]]",[-0.05  0.01],[-1.04  0.95],[-0.05  0.02],[-0.53  0.54],[-0.05 -0.05],[0.95 0.95],[0.05 0.05],[0.39 0.6 ],[-0.03 -0.05],[-0.31  0.1 ],[-0.02 -0.  ],[-0.11  0.63],[0.04 0.04],[0.7  0.31],0.38051012,LPE10885_2023_10_20_4_0053
Dataset 05,54,[-0.09  0.63],"[[-0.01  0.  ]
 [-0.02 -0.  ]]",[0.69 0.31],"[[0.13 0.04]
 [0.02 0.01]]",[-0.98  0.93],[-0.48  0.52],[1. 1.],[0.34 0.55],[-0.31  0.13],"[[ 0.14  0.08]
 [-0.05 -0.  ]]","[[-0.25 -0.04]
 [-0.05 -0.03]]","[[ 0. -0.]
 [ 0.  0.]]","[[ 0.08 -0.01]
 [ 0.    0.  ]]","[[-0.    0.  ]
 [-0.    0.01]]",[ 0.04 -0.05],[-0.94  0.88],[-0.01 -0.01],[-0.49  0.51],[ 0.05 -0.02],[1.05 0.98],[-0.04  0.05],[0.29 0.6 ],[-0.02  0.04],[-0.33  0.17],[0. 0.],[-0.08  0.63],[0.04 0.04],[0.69 0.29],0.44984353,LPE10885_2023_10_20_4_0054
Dataset 05,55,[-0.18  0.62],"[[-0.   -0.01]
 [ 0.    0.02]]",[0.74 0.31],"[[0.05 0.06]
 [0.07 0.02]]",[-0.95  0.87],[-0.48  0.52],[1. 1.],[0.35 0.58],[-0.81  0.11],"[[-0.05 -0.13]
 [ 0.13  0.01]]","[[ 0.09  0.04]
 [-0.07  0.03]]","[[-0. -0.]
 [-0. -0.]]","[[-0.05  0.04]
 [-0.06  0.06]]","[[-0.  0.]
 [ 0. -0.]]",[-0.03  0.05],[-0.98  0.92],[-0.05 -0.03],[-0.53  0.49],[-0.05  0.02],[0.95 1.02],[-0.04 -0.04],[0.31 0.55],[-0.04  0.05],[-0.86  0.16],[-0.04  0.01],[-0.22  0.63],[0.01 0.04],[0.74 0.31],0.55895287,LPE10885_2023_10_20_4_0055
Dataset 05,56,[-0.13  0.72],"[[ 0.01  0.01]
 [-0.01 -0.02]]",[0.71 0.23],"[[0.05 0.05]
 [0.06 0.06]]",[-1.    0.99],[-0.51  0.58],[1. 1.],[0.36 0.62],[-0.48  0.42],"[[-0.03  0.07]
 [ 0.09 -0.13]]","[[ 0.1   0.04]
 [-0.04  0.03]]","[[-0.  0.]
 [-0.  0.]]","[[-0.05 -0.07]
 [-0.09 -0.03]]","[[-0. -0.]
 [ 0.  0.]]",[-0.05  0.05],[-1.05  1.05],[ 0.05 -0.02],[-0.46  0.56],[0.05 0.05],[1.05 1.05],[-0.04 -0.01],[0.32 0.6 ],[ 0.05 -0.05],[-0.43  0.37],[0.01 0.  ],[-0.11  0.73],[0.05 0.04],[0.73 0.28],0.72614825,LPE10885_2023_10_20_4_0056
Dataset 05,57,[-0.12  0.61],"[[-0.03  0.02]
 [ 0.02 -0.  ]]",[0.7 0.3],"[[0.08 0.04]
 [0.03 0.06]]",[-0.94  0.85],[-0.47  0.49],[1. 1.],[0.34 0.56],[-0.53  0.14],"[[ 0.07  0.02]
 [-0.02 -0.1 ]]","[[-0.16  0.11]
 [ 0.04  0.09]]","[[-0.    0.  ]
 [ 0.01  0.  ]]","[[-0.05 -0.02]
 [ 0.06 -0.  ]]","[[-0. -0.]
 [ 0.  0.]]",[-0.04  0.05],[-0.98  0.9 ],[-0.03  0.04],[-0.5   0.53],[0.04 0.05],[1.04 1.05],[ 0.03 -0.02],[0.37 0.54],[ 0.03 -0.01],[-0.49  0.14],[0.   0.02],[-0.11  0.63],[0.03 0.03],[0.72 0.32],0.72851557,LPE10885_2023_10_20_4_0057
Dataset 05,58,[-0.13  0.6 ],"[[-0.01 -0.01]
 [ 0.03 -0.03]]",[0.71 0.32],"[[0.03 0.03]
 [0.06 0.07]]",[-0.96  0.88],[-0.47  0.51],[1. 1.],[0.34 0.56],[-0.56  0.07],"[[ 0.02 -0.05]
 [ 0.01  0.04]]","[[-0.06 -0.03]
 [ 0.16 -0.17]]","[[ 0.01  0.01]
 [-0.01  0.  ]]","[[-0.02  0.02]
 [ 0.01 -0.01]]","[[ 0.01  0.01]
 [-0.01  0.01]]",[ 0.05 -0.02],[-0.9   0.85],[0.05 0.03],[-0.42  0.54],[-0.01 -0.05],[0.99 0.95],[-0.04 -0.  ],[0.3  0.56],[0.01 0.05],[-0.55  0.12],[0.01 0.  ],[-0.12  0.6 ],[0.04 0.04],[0.68 0.29],0.54327625,LPE10885_2023_10_20_4_0058
Dataset 05,59,[-0.09  0.62],"[[-0.01  0.03]
 [-0.01 -0.02]]",[0.69 0.31],"[[0.04 0.07]
 [0.03 0.04]]",[-0.98  0.92],[-0.48  0.51],[1. 1.],[0.34 0.55],[-0.32  0.13],"[[ 0.07  0.  ]
 [ 0.04 -0.07]]","[[-0.06  0.17]
 [-0.02 -0.04]]","[[ 0.    0.  ]
 [-0.01  0.01]]","[[-0.04  0.  ]
 [-0.04  0.02]]","[[-0.01 -0.  ]
 [ 0.01 -0.  ]]",[0.05 0.04],[-0.93  0.96],[-0.04 -0.01],[-0.51  0.5 ],[0.05 0.04],[1.05 1.04],[-0.05 -0.  ],[0.28 0.55],[-0.05  0.05],[-0.37  0.18],[-0.01  0.02],[-0.1   0.65],[0.05 0.03],[0.69 0.32],0.67120874,LPE10885_2023_10_20_4_0059
Dataset 05,60,[-0.19  0.64],"[[-0.03  0.01]
 [-0.02  0.01]]",[0.76 0.3 ],"[[0.08 0.04]
 [0.05 0.03]]",[-0.98  0.93],[-0.49  0.53],[1. 1.],[0.35 0.61],[-0.85  0.16],"[[-0.15  0.02]
 [-0.04 -0.05]]","[[-0.09  0.07]
 [ 0.06  0.05]]","[[ 0.01  0.02]
 [-0.01 -0.  ]]","[[ 0.06 -0.05]
 [-0.11  0.02]]","[[0.   0.01]
 [0.   0.01]]",[-0.04  0.05],[-1.02  0.98],[ 0.03 -0.04],[-0.46  0.49],[-0.05  0.05],[0.95 1.05],[ 0.03 -0.03],[0.38 0.58],[0.   0.04],[-0.85  0.19],[-0.01  0.01],[-0.2   0.66],[0.03 0.04],[0.75 0.32],0.48637924,LPE10885_2023_10_20_4_0060
Dataset 05,61,[-0.08  0.63],"[[-0.01  0.01]
 [ 0.01 -0.  ]]",[0.69 0.31],"[[0.02 0.04]
 [0.05 0.02]]",[-0.99  0.94],[-0.48  0.52],[1. 1.],[0.34 0.55],[-0.29  0.15],"[[ 0.   -0.06]
 [-0.06  0.02]]","[[-0.    0.04]
 [ 0.01  0.  ]]","[[-0.   -0.  ]
 [ 0.01  0.01]]","[[-0.06  0.05]
 [ 0.1  -0.05]]","[[-0.   -0.  ]
 [-0.01 -0.01]]",[ 0.04 -0.04],[-0.95  0.9 ],[0.05 0.01],[-0.43  0.54],[0.05 0.03],[1.05 1.03],[0.01 0.  ],[0.35 0.55],[-0.02  0.01],[-0.3   0.15],[0.03 0.  ],[-0.06  0.63],[0.03 0.02],[0.69 0.31],0.4805805,LPE10885_2023_10_20_4_0061
Dataset 05,62,[-0.08  0.64],"[[ 0.02 -0.03]
 [-0.02 -0.06]]",[0.69 0.31],"[[0.02 0.06]
 [0.04 0.08]]",[-0.99  0.95],[-0.49  0.53],[1. 1.],[0.34 0.55],[-0.27  0.16],"[[ 0.06 -0.15]
 [-0.09 -0.22]]","[[0.01 0.04]
 [0.01 0.  ]]","[[-0.   -0.  ]
 [ 0.01 -0.  ]]","[[ 0.   -0.04]
 [-0.   -0.08]]","[[ 0.01  0.  ]
 [-0.    0.  ]]",[-0.05  0.04],[-1.04  0.99],[-0.04 -0.04],[-0.53  0.5 ],[ 0.05 -0.01],[1.05 0.99],[-0.01  0.05],[0.32 0.6 ],[-0.05 -0.04],[-0.32  0.13],[-0.02  0.  ],[-0.1   0.64],[0.04 0.04],[0.72 0.33],0.56290746,LPE10885_2023_10_20_4_0062
Dataset 05,63,[-0.2   0.59],"[[-0.03 -0.05]
 [-0.07  0.04]]",[0.76 0.38],"[[0.06 0.11]
 [0.08 0.03]]",[-0.96  0.88],[-0.5   0.56],[1. 1.],[0.36 0.6 ],[-0.88 -0.09],"[[-0.14  0.07]
 [-0.2   0.06]]","[[ 0.04 -0.25]
 [-0.12  0.08]]","[[-0.    0.  ]
 [-0.01 -0.  ]]","[[-0.04 -0.08]
 [-0.03  0.05]]","[[-0.   -0.01]
 [-0.   -0.  ]]",[-0.05  0.05],[-1.01  0.93],[ 0.05 -0.03],[-0.45  0.53],[-0.04 -0.05],[0.96 0.95],[-0.05  0.02],[0.31 0.62],[-0.04  0.04],[-0.92 -0.05],[-0.03  0.01],[-0.22  0.6 ],[0.04 0.04],[0.75 0.36],0.59280556,LPE10885_2023_10_20_4_0063
